point_id,year,month,day,hour,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
17,2021,6,17,12,17.6,8.44,10.03,480.3,30.1,2.92,0.025,0.156,6.96
17,2021,6,17,12,17.6,8.44,10.03,480.3,30.1,2.92,0.025,0.156,6.96
17,2021,6,17,16,18.8,8.64,9.4,473.2,23.7,2.04,0.025,0.129,7.38
17,2021,6,17,16,18.8,8.64,9.4,473.2,23.7,2.03,0.025,0.119,7.17
17,2021,6,17,20,17.6,8.1,7.51,480.1,39.3,2.29,0.025,0.118,7.22
17,2021,6,18,0,16.0,7.84,7.83,478.1,43.9,2.29,0.025,0.118,7.22
17,2021,6,18,4,15.2,7.82,7.96,478.9,51.9,2.38,0.025,0.124,7.38
17,2021,6,18,4,15.2,7.82,7.96,478.9,51.9,2.26,0.025,0.131,7.57
17,2021,6,18,8,15.6,7.83,8.01,479.5,71.3,2.95,0.025,0.144,7.65
17,2021,6,18,12,18.1,8.51,10.43,462.7,33.3,2.95,0.025,0.144,7.65
17,2021,6,18,16,18.5,8.02,7.57,465.1,77.8,2.26,0.025,0.125,7.14
17,2021,6,18,16,18.5,8.02,7.57,465.1,77.8,2.9,0.025,0.152,7.46
17,2021,6,18,20,17.0,8.03,8.76,473.4,44.8,2.21,0.025,0.13,7.17
17,2021,6,19,0,15.4,7.86,8.98,475.7,42.1,2.21,0.025,0.13,7.17
17,2021,6,19,4,14.7,7.82,9.13,474.3,41.7,2.26,0.025,0.129,7.31
17,2021,6,19,4,14.7,7.82,9.13,474.3,41.7,2.24,0.025,0.13,7.42
17,2021,6,19,8,15.2,7.92,9.54,471.5,36.9,2.29,0.025,0.132,7.18
17,2021,6,19,12,17.8,8.49,10.52,456.8,31.3,2.03,0.025,0.123,6.75
17,2021,6,19,16,18.3,8.66,10.07,454.0,29.8,2.01,0.025,0.112,6.64
17,2021,6,19,20,17.3,8.15,7.65,474.4,41.0,2.01,0.025,0.112,6.64
17,2021,6,20,0,15.8,7.88,7.76,480.3,50.0,2.25,0.025,0.116,7.14
17,2021,6,20,0,15.8,7.88,7.76,480.3,50.0,2.25,0.025,0.116,7.14
17,2021,6,20,8,16.0,7.97,8.53,467.5,43.0,2.49,0.025,0.12,7.44
17,2021,6,20,12,18.6,8.57,10.52,452.6,29.7,2.23,0.025,0.122,7.04
17,2021,6,20,16,19.4,8.67,8.99,446.0,26.7,2.44,0.025,0.105,6.74
17,2021,7,2,20,20.3,7.95,6.98,548.7,76.1,4.31,0.025,0.199,10.21
17,2021,7,3,0,18.2,7.76,7.15,558.4,57.9,4.31,0.025,0.199,10.21
17,2021,7,3,4,17.6,7.77,7.3,537.7,57.6,4.15,0.153,0.219,10.52
17,2021,7,3,4,17.6,7.77,7.3,537.7,57.6,4.16,0.138,0.208,10.32
17,2021,7,3,8,17.1,7.73,8.02,532.2,18.2,2.68,0.025,0.128,9.63
17,2021,7,3,12,21.5,8.65,10.47,495.7,28.0,2.68,0.025,0.128,9.63
17,2021,7,3,16,22.1,8.54,8.15,505.1,59.9,2.64,0.025,0.125,8.95
17,2021,7,3,16,22.1,8.54,8.15,505.1,59.9,3.27,0.025,0.157,8.98
17,2021,7,3,20,20.3,7.93,6.99,529.7,78.9,4.35,0.025,0.211,10.01
17,2021,7,4,0,18.2,7.88,7.38,531.7,64.2,4.35,0.025,0.211,10.01
17,2021,7,4,4,18.0,7.73,7.01,505.1,60.9,3.93,0.025,0.186,9.84
17,2021,7,4,4,18.0,7.73,7.01,505.1,60.9,4.84,0.387,0.203,9.38
17,2021,7,4,8,17.6,7.7,7.98,505.7,24.1,3.27,0.23,0.145,9.0
17,2021,7,4,12,20.8,8.43,8.26,501.7,191.3,3.27,0.23,0.145,9.0
17,2021,7,4,16,20.7,7.72,6.53,468.8,591.5,6.07,0.025,0.273,10.22
17,2021,7,4,16,20.7,7.72,6.53,468.8,591.5,8.74,0.192,0.511,14.15
17,2021,7,4,20,20.5,7.75,6.72,433.2,706.8,8.83,0.025,0.45,15.53
17,2021,7,5,0,18.2,7.64,7.02,460.8,554.0,8.83,0.025,0.45,15.53
17,2021,7,5,4,17.6,7.83,7.61,449.7,633.7,8.44,0.025,0.37,15.42
17,2021,7,5,4,17.6,7.83,7.61,449.7,633.7,8.61,0.025,0.389,15.56
17,2021,7,5,12,19.0,7.7,7.13,508.6,186.8,6.05,0.025,0.15,12.85
17,2021,7,5,16,19.5,7.87,7.0,425.7,3701.8,6.05,0.025,0.15,12.85
17,2021,7,5,16,19.5,7.87,7.0,425.7,3701.8,10.04,0.025,0.778,22.82
17,2021,7,5,20,18.0,7.86,7.58,468.1,379.1,7.85,0.025,0.286,14.12
17,2021,7,6,0,17.8,7.76,7.28,404.3,1295.8,7.85,0.025,0.286,14.12
17,2021,7,6,4,17.6,7.73,7.36,430.3,1058.7,9.49,0.091,0.507,17.16
17,2021,7,26,12,17.8,7.88,7.91,523.4,54.7,4.63,0.025,0.098,9.42
17,2021,7,26,16,17.6,7.84,7.83,529.4,55.6,4.56,0.025,0.098,9.41
17,2021,7,26,20,17.5,7.86,7.82,512.3,234.3,4.56,0.025,0.098,9.41
17,2021,7,26,20,17.5,7.86,7.82,512.3,234.3,5.74,0.025,0.144,10.46
17,2021,7,27,0,16.8,7.74,7.82,533.7,100.9,5.74,0.025,0.144,10.46
17,2021,7,27,4,16.7,7.8,7.97,527.5,75.6,5.36,0.025,0.112,9.48
17,2021,7,27,8,16.6,7.77,7.92,541.1,57.8,5.36,0.025,0.112,9.48
17,2021,7,27,8,16.6,7.77,7.92,541.1,57.8,4.48,0.025,0.093,9.35
17,2021,7,27,12,17.3,7.91,8.13,528.1,78.3,4.48,0.025,0.093,9.35
17,2021,7,27,12,17.3,7.91,8.13,528.1,78.3,5.06,0.025,0.113,9.69
17,2021,7,27,16,19.0,7.94,7.75,519.7,58.4,4.45,0.025,0.094,9.31
17,2021,7,27,20,18.1,7.79,7.43,522.1,67.1,5.02,0.438,0.13,9.55
17,2021,7,28,0,17.5,7.8,7.77,516.0,85.9,5.02,0.438,0.13,9.55
17,2021,7,28,0,17.5,7.8,7.77,516.0,85.9,5.04,0.025,0.119,9.65
17,2021,7,28,4,16.9,7.68,7.16,528.4,93.5,5.04,0.025,0.119,9.65
17,2021,7,28,8,17.2,7.75,7.78,541.2,96.6,5.33,0.025,0.121,10.19
17,2021,7,28,12,16.8,7.86,8.21,528.9,62.6,5.33,0.025,0.121,10.19
17,2021,7,28,12,16.8,7.86,8.21,528.9,62.6,4.66,0.025,0.091,8.75
17,2021,7,28,16,17.6,7.8,7.71,550.1,73.3,4.92,0.215,0.125,10.09
17,2021,7,28,20,16.4,7.85,8.15,537.4,52.6,4.38,0.025,0.09,8.92
17,2021,7,29,0,16.6,7.84,8.12,540.7,61.4,4.38,0.025,0.09,8.92
17,2021,7,29,0,16.6,7.84,8.12,540.7,61.4,4.13,0.025,0.091,9.69
17,2021,7,29,4,16.4,7.73,7.96,554.8,50.3,3.65,0.025,0.082,9.5
17,2021,7,29,8,16.5,7.86,8.23,541.9,71.6,4.43,0.025,0.104,9.83
17,2021,7,29,12,17.3,7.91,8.15,534.1,52.0,4.43,0.025,0.09,9.83
17,2021,7,29,16,17.3,7.85,7.94,545.6,51.5,3.99,0.025,0.09,9.49
