point_id,year,month,day,hour,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
3,2021,6,17,12,24.8,7.74,4.8,1146.0,7.1,4.28,0.137,0.084,9.5
3,2021,6,17,12,24.8,7.74,4.8,1146.0,7.1,4.28,0.137,0.084,9.5
3,2021,6,17,16,26.2,8.04,5.53,1155.5,7.1,4.71,0.137,0.087,9.52
3,2021,6,17,16,26.2,8.04,5.53,1155.5,7.1,4.52,0.097,0.094,10.46
3,2021,6,18,0,26.2,7.75,4.02,1134.7,5.1,4.58,0.087,0.098,10.54
3,2021,6,18,4,25.1,7.55,3.26,1127.7,5.0,4.49,0.091,0.086,10.31
3,2021,6,18,4,25.1,7.55,3.26,1127.7,5.0,4.45,0.093,0.084,9.8
3,2021,6,18,8,24.6,7.55,3.48,1126.7,4.2,4.24,0.097,0.079,9.65
3,2021,6,18,12,24.8,7.75,4.84,1137.4,5.4,4.24,0.089,0.082,9.99
3,2021,6,18,16,25.8,8.06,5.53,1137.6,6.1,4.34,0.089,0.082,9.99
3,2021,6,18,16,25.8,8.06,5.53,1137.6,6.1,4.4,0.086,0.092,10.57
3,2021,6,18,20,26.2,8.09,5.16,1138.8,5.5,4.48,0.083,0.097,10.45
3,2021,6,19,0,25.8,7.82,4.29,1141.6,5.1,4.48,0.083,0.097,10.45
3,2021,6,19,4,24.9,7.55,3.38,1139.3,4.7,4.5,0.087,0.096,10.32
3,2021,6,19,4,24.9,7.55,3.38,1139.3,4.7,4.57,0.097,0.097,10.16
3,2021,6,19,8,24.5,7.58,3.79,1140.2,4.4,4.37,0.102,0.087,10.02
3,2021,6,19,12,25.3,7.83,5.01,1150.1,4.9,4.33,0.091,0.082,9.74
3,2021,6,19,16,26.6,8.14,5.71,1152.4,5.9,4.39,0.086,0.093,10.84
3,2021,6,19,20,27.0,8.13,5.04,1151.6,5.6,4.39,0.087,0.097,10.89
3,2021,6,20,0,26.4,7.81,3.92,1150.3,5.0,4.32,0.087,0.097,10.89
3,2021,6,20,0,26.4,7.81,3.92,1150.3,5.0,4.32,0.087,0.097,10.89
3,2021,6,20,8,25.0,7.6,3.84,1151.0,3.8,4.22,0.095,0.09,10.7
3,2021,6,20,12,25.4,7.88,5.17,1160.0,4.7,4.24,0.089,0.087,10.44
3,2021,6,20,16,26.7,8.15,5.68,1160.8,5.9,4.32,0.089,0.087,10.44
3,2021,7,2,12,25.4,7.36,3.37,844.6,20.6,6.88,1.472,0.14,8.35
3,2021,7,2,16,26.9,7.52,4.06,845.3,16.8,6.77,1.472,0.14,9.03
3,2021,7,2,16,26.9,7.52,4.06,845.3,16.8,6.1,0.906,0.125,8.51
3,2021,7,2,20,26.6,7.48,3.8,858.4,12.4,5.85,0.41,0.11,7.81
3,2021,7,3,0,25.9,7.41,3.09,880.7,12.1,5.85,0.41,0.11,7.81
3,2021,7,3,4,25.0,7.36,3.07,607.7,89.0,5.85,0.41,0.11,7.81
3,2021,7,3,4,25.0,7.36,3.07,607.7,89.0,10.01,1.474,0.196,6.77
3,2021,7,3,8,24.3,7.48,2.56,450.6,156.4,11.82,2.046,0.175,4.28
3,2021,7,3,12,24.7,7.25,2.2,430.7,51.9,11.82,2.844,0.224,5.43
3,2021,7,3,16,25.0,7.22,2.25,648.7,29.4,8.24,2.844,0.224,5.43
3,2021,7,3,16,25.0,7.22,2.25,648.7,29.4,9.42,9.025,0.561,13.95
3,2021,7,3,20,26.4,7.29,2.96,638.5,15.3,4.65,2.422,0.217,7.33
3,2021,7,4,0,25.7,7.3,3.06,668.2,16.4,4.65,2.422,0.217,7.33
3,2021,7,4,4,25.7,7.31,2.99,603.1,14.6,4.65,2.422,0.217,7.33
3,2021,7,4,4,25.7,7.31,2.99,603.1,14.6,3.36,0.779,0.129,4.72
3,2021,7,4,8,25.1,7.32,3.33,763.7,13.1,3.41,0.534,0.144,7.8
3,2021,7,4,12,25.9,7.51,4.21,839.3,9.7,3.41,0.244,0.139,7.8
3,2021,7,4,16,27.4,7.79,4.49,905.9,6.1,3.17,0.244,0.139,7.84
3,2021,7,4,16,27.4,7.79,4.49,905.9,6.1,3.1,0.137,0.144,9.13
3,2021,7,4,20,27.6,7.75,4.24,922.4,5.9,2.93,0.08,0.152,9.64
3,2021,7,5,0,26.8,7.55,3.66,931.2,6.4,2.93,0.08,0.152,9.64
3,2021,7,5,4,25.6,7.41,3.22,950.8,6.8,2.93,0.08,0.152,9.64
3,2021,7,5,8,25.1,7.45,3.76,980.6,7.4,3.1,0.076,0.158,9.91
3,2021,7,5,8,25.1,7.45,3.76,980.6,7.4,3.06,0.07,0.153,9.76
3,2021,7,5,12,25.7,7.63,4.55,998.7,5.7,3.17,0.057,0.14,10.1
3,2021,7,5,16,26.4,7.7,4.5,994.4,10.5,3.17,0.091,0.156,10.1
3,2021,7,5,20,26.2,7.65,4.31,1027.4,6.5,3.69,0.091,0.156,10.46
3,2021,7,5,20,26.2,7.65,4.31,1027.4,6.5,3.31,0.066,0.152,10.91
3,2021,7,6,0,25.4,7.43,2.61,994.0,31.6,3.31,0.066,0.152,10.91
3,2021,7,6,4,25.7,7.38,1.91,837.3,28.9,3.31,3.351,0.346,8.59
3,2021,7,6,8,25.3,7.3,1.67,719.4,20.7,7.59,3.351,0.346,8.59
3,2021,7,6,8,25.3,7.3,1.67,719.4,20.7,7.31,4.205,0.328,8.7
3,2021,7,6,12,25.3,7.26,1.74,733.8,19.1,7.2,6.03,0.434,12.32
3,2021,7,6,16,26.3,7.37,2.4,833.1,12.0,5.77,3.604,0.334,10.77
3,2021,7,7,8,25.2,7.43,3.12,907.5,6.1,3.35,0.167,0.14,8.99
3,2021,7,7,12,26.2,7.65,4.32,921.9,5.7,3.37,0.378,0.135,8.87
3,2021,7,7,12,26.2,7.65,4.32,921.9,5.7,7.15,0.111,0.142,9.4
3,2021,7,26,12,26.3,7.66,4.44,1141.5,2.4,2.93,0.042,0.082,11.73
3,2021,7,26,16,26.6,7.86,5.17,1140.5,2.4,3.07,0.047,0.101,11.62
3,2021,7,26,20,26.6,7.85,4.79,1148.7,2.9,3.07,0.048,0.101,11.62
3,2021,7,26,20,26.6,7.85,4.79,1148.7,2.9,3.07,0.048,0.094,11.82
3,2021,7,27,0,26.8,7.57,4.27,1133.8,2.9,3.07,0.048,0.094,11.82
3,2021,7,27,4,26.4,7.35,3.66,1129.3,3.6,3.16,0.054,0.095,11.7
3,2021,7,27,8,26.0,7.16,2.52,877.9,13.7,3.16,0.924,0.095,11.7
3,2021,7,27,8,26.0,7.16,2.52,877.9,13.7,7.37,0.924,0.138,10.94
