point_id,year,month,day,hour,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
13,2021,6,17,12,23.8,8.6,11.74,417.6,5.0,2.01,0.025,0.005,0.9
13,2021,6,17,12,23.8,8.6,11.74,417.6,5.0,2.01,0.025,0.005,0.9
13,2021,6,17,16,24.2,8.6,10.9,417.6,4.1,2.23,0.025,0.005,0.88
13,2021,6,17,16,24.2,8.6,10.9,417.6,4.1,2.38,0.025,0.005,0.88
13,2021,6,17,20,24.0,8.6,10.99,416.6,4.4,2.13,0.025,0.005,0.89
13,2021,6,18,0,23.4,8.56,10.83,417.5,5.7,2.13,0.025,0.005,0.89
13,2021,6,18,4,23.5,8.56,10.44,417.6,3.6,2.14,0.025,0.005,0.89
13,2021,6,18,4,23.5,8.56,10.44,417.6,3.6,2.1,0.025,0.005,0.9
13,2021,6,18,8,23.5,8.56,10.37,417.8,4.0,2.03,0.025,0.005,0.88
13,2021,6,18,12,24.3,8.58,10.79,418.1,4.2,2.05,0.025,0.005,0.86
13,2021,6,18,16,24.2,8.61,11.42,414.6,7.0,2.05,0.025,0.005,0.86
13,2021,6,18,16,24.2,8.61,11.42,414.6,7.0,2.21,0.025,0.005,0.89
13,2021,6,18,20,24.1,8.59,10.89,417.5,4.0,2.04,0.025,0.005,0.88
13,2021,6,19,0,23.6,8.56,10.44,418.1,6.5,2.04,0.025,0.005,0.88
13,2021,6,19,4,23.4,8.55,10.44,417.1,4.2,2.08,0.025,0.005,0.86
13,2021,6,19,4,23.4,8.55,10.44,417.1,4.2,2.01,0.025,0.005,0.85
13,2021,6,19,8,23.7,8.56,10.54,417.6,4.1,2.1,0.025,0.005,0.87
13,2021,6,19,12,24.1,8.58,11.28,416.7,5.3,2.16,0.025,0.005,0.87
13,2021,6,19,16,24.2,8.6,11.48,416.3,4.9,2.2,0.025,0.005,0.87
13,2021,6,19,20,24.1,8.59,10.75,416.4,4.7,2.08,0.025,0.005,0.85
13,2021,6,20,0,23.7,8.56,10.58,417.5,5.2,2.08,0.025,0.005,0.85
13,2021,6,20,0,23.7,8.56,10.58,417.5,5.2,2.08,0.025,0.005,0.85
13,2021,6,20,8,23.5,8.55,10.59,416.7,5.1,2.11,0.025,0.005,0.87
13,2021,6,20,12,24.3,8.58,11.58,415.7,5.2,2.16,0.025,0.005,0.86
13,2021,6,20,16,24.7,8.59,10.86,416.3,6.3,2.16,0.025,0.005,0.86
13,2021,7,2,12,25.6,8.54,11.25,402.1,4.2,2.38,0.025,0.005,0.86
13,2021,7,2,16,25.2,8.58,12.42,397.5,6.8,2.28,0.025,0.005,0.83
13,2021,7,2,16,25.2,8.58,12.42,397.5,6.8,2.56,0.025,0.005,0.86
13,2021,7,2,20,25.0,8.56,12.07,398.0,5.5,2.54,0.025,0.005,0.85
13,2021,7,3,0,25.4,8.55,11.6,400.3,4.2,2.54,0.025,0.005,0.85
13,2021,7,3,4,25.3,8.54,10.92,397.5,2.6,2.54,0.025,0.005,0.85
13,2021,7,3,4,25.3,8.54,10.92,397.5,2.6,2.38,0.025,0.005,0.85
13,2021,7,3,8,25.0,8.54,10.6,395.8,3.3,2.41,0.025,0.005,0.82
13,2021,7,3,12,25.6,8.56,11.11,397.5,6.1,2.41,0.025,0.005,0.82
13,2021,7,3,16,26.0,8.59,11.66,393.6,4.9,2.41,0.025,0.005,0.79
13,2021,7,3,16,26.0,8.59,11.66,393.6,4.9,2.48,0.025,0.005,0.82
13,2021,7,3,20,25.5,8.56,11.66,393.6,4.7,2.67,0.025,0.005,0.82
13,2021,7,4,0,25.4,8.54,10.83,393.9,4.6,2.67,0.025,0.005,0.82
13,2021,7,4,4,25.2,8.42,9.52,396.3,4.8,2.67,0.025,0.005,0.82
13,2021,7,4,4,25.2,8.42,9.52,396.3,4.8,2.53,0.025,0.005,0.85
13,2021,7,4,8,25.3,8.49,10.24,395.3,4.2,2.46,0.025,0.005,0.83
13,2021,7,4,12,25.8,8.58,11.55,393.2,4.4,2.46,0.025,0.005,0.83
13,2021,7,4,16,25.7,8.63,12.78,390.8,4.8,2.5,0.025,0.005,0.82
13,2021,7,4,16,25.7,8.63,12.78,390.8,4.8,2.44,0.025,0.005,0.83
13,2021,7,4,20,25.8,8.59,11.87,392.5,4.2,2.57,0.025,0.005,0.81
13,2021,7,5,0,26.6,8.53,10.66,395.4,3.5,2.57,0.025,0.005,0.81
13,2021,7,5,4,26.2,8.52,10.2,394.5,5.0,2.57,0.025,0.005,0.81
13,2021,7,5,8,26.1,8.53,10.84,393.8,4.8,2.72,0.025,0.005,0.82
13,2021,7,5,8,26.1,8.53,10.84,393.8,4.8,2.49,0.025,0.005,0.83
13,2021,7,5,12,26.6,8.57,11.64,391.2,4.4,2.58,0.025,0.005,0.84
13,2021,7,5,16,26.2,8.57,10.89,392.0,4.7,2.58,0.025,0.005,0.84
13,2021,7,5,20,26.1,8.52,10.84,392.6,4.8,2.38,0.025,0.005,0.8
13,2021,7,5,20,26.1,8.52,10.84,392.6,4.8,2.47,0.025,0.005,0.83
13,2021,7,6,0,25.9,8.52,10.12,387.0,3.8,2.47,0.025,0.005,0.83
13,2021,7,6,4,25.6,8.44,9.39,389.2,4.2,2.47,0.025,0.005,0.83
13,2021,7,6,8,25.6,8.48,9.85,390.2,5.6,2.39,0.025,0.005,0.83
13,2021,7,6,8,25.6,8.48,9.85,390.2,5.6,2.42,0.025,0.005,0.82
