point_id,year,month,day,hour,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
4,2021,6,17,12,26.2,8.54,8.92,1188.2,5.4,6.31,0.139,0.046,0.91
4,2021,6,17,12,26.2,8.54,8.92,1188.2,5.4,6.31,0.139,0.046,0.91
4,2021,6,17,16,26.8,8.56,8.84,1185.1,6.6,6.92,0.139,0.066,1.11
4,2021,6,17,16,26.8,8.56,8.84,1185.1,6.6,6.94,0.078,0.084,1.16
4,2021,6,18,0,26.1,8.45,8.4,1184.6,6.5,6.41,0.054,0.049,0.88
4,2021,6,18,4,25.8,8.38,7.52,1183.5,5.2,6.36,0.048,0.044,0.82
4,2021,6,18,4,25.8,8.38,7.52,1183.5,5.2,6.22,0.048,0.046,0.87
4,2021,6,18,8,25.5,8.34,6.92,1185.4,5.2,6.08,0.074,0.047,1.06
4,2021,6,18,12,25.9,8.43,8.52,1185.6,6.0,6.38,0.034,0.048,0.88
4,2021,6,18,16,26.4,8.52,10.1,1187.2,6.9,6.38,0.025,0.048,0.88
4,2021,6,18,16,26.4,8.52,10.1,1187.2,6.9,6.54,0.025,0.045,0.85
4,2021,6,18,20,25.9,8.43,8.87,1184.8,6.6,6.52,0.059,0.045,0.89
4,2021,6,19,0,25.5,8.32,7.52,1187.1,6.0,6.52,0.059,0.045,0.89
4,2021,6,19,4,25.2,8.29,6.98,1186.6,6.7,6.11,0.055,0.043,0.91
4,2021,6,19,4,25.2,8.29,6.98,1186.6,6.7,6.02,0.055,0.044,0.9
4,2021,6,19,8,25.2,8.32,7.63,1188.5,5.6,6.01,0.07,0.042,0.94
4,2021,6,19,12,25.7,8.4,8.78,1187.6,6.4,6.27,0.027,0.044,0.83
4,2021,6,19,16,26.0,8.44,9.5,1187.5,7.0,6.18,0.029,0.043,0.88
4,2021,6,19,20,25.5,8.4,8.83,1186.7,6.9,6.18,0.029,0.041,0.84
4,2021,6,20,0,25.3,8.3,7.55,1187.8,5.8,6.18,0.029,0.041,0.84
4,2021,6,20,0,25.3,8.3,7.55,1187.8,5.8,6.18,0.029,0.041,0.84
4,2021,6,20,8,25.1,8.32,7.75,1190.0,5.1,5.82,0.039,0.04,0.86
4,2021,6,20,12,25.6,8.49,10.24,1184.3,5.7,6.3,0.025,0.042,0.81
4,2021,6,20,16,27.5,8.49,10.05,1192.5,6.3,6.3,0.025,0.042,0.81
4,2021,7,2,12,27.1,8.31,5.91,1181.4,4.5,5.39,0.096,0.036,0.9
4,2021,7,2,16,27.8,8.35,6.26,1183.5,4.7,5.39,0.096,0.036,0.9
4,2021,7,2,16,27.8,8.35,6.26,1183.5,4.7,5.28,0.06,0.032,0.88
4,2021,7,2,20,27.4,8.26,7.56,1183.9,3.7,5.4,0.074,0.038,0.89
4,2021,7,3,0,27.2,8.35,7.28,1182.2,3.4,5.4,0.074,0.038,0.89
4,2021,7,3,4,26.6,8.31,6.99,1155.7,4.0,5.4,0.074,0.038,0.89
4,2021,7,3,4,26.6,8.31,6.99,1155.7,4.0,5.38,0.113,0.04,0.92
4,2021,7,3,8,26.5,8.27,6.55,1148.3,6.1,5.32,0.134,0.04,0.94
4,2021,7,3,12,27.0,8.33,7.67,1149.1,5.6,5.32,0.106,0.041,0.87
4,2021,7,3,16,27.4,8.4,8.38,1146.4,5.4,5.45,0.106,0.041,0.87
4,2021,7,3,16,27.4,8.4,8.38,1146.4,5.4,5.45,0.082,0.039,0.85
4,2021,7,3,20,27.7,8.37,7.88,1143.5,4.4,5.25,0.079,0.036,0.83
4,2021,7,4,0,27.3,8.36,7.7,1145.7,4.7,5.25,0.079,0.036,0.83
4,2021,7,4,4,26.9,8.3,6.93,1146.5,4.4,5.25,0.079,0.036,0.83
4,2021,7,4,4,26.9,8.3,6.93,1146.5,4.4,5.28,0.091,0.04,0.94
4,2021,7,4,8,26.9,8.3,7.13,1147.1,4.3,5.3,0.09,0.04,0.91
