point_id,year,month,day,hour,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
6,2021,6,17,12,26.4,7.87,14.54,596.7,6.9,3.09,0.032,0.047,4.33
6,2021,6,17,12,26.4,7.87,14.54,596.7,6.9,3.09,0.032,0.047,4.33
6,2021,6,17,16,26.4,7.87,14.54,596.7,9.5,2.59,0.032,0.046,4.69
6,2021,6,17,16,26.4,7.87,14.54,596.7,9.5,3.22,0.025,0.05,4.97
6,2021,6,17,20,27.8,7.95,13.6,614.7,6.8,3.23,0.025,0.046,5.06
6,2021,6,18,0,25.2,7.28,6.38,623.1,2.7,3.23,0.025,0.046,5.06
6,2021,6,18,4,24.3,7.13,4.24,613.8,3.4,3.03,0.054,0.038,5.09
6,2021,6,18,4,24.3,7.13,4.24,613.8,3.4,2.83,0.054,0.041,4.91
6,2021,6,18,8,24.0,7.17,5.17,620.6,3.3,2.99,0.055,0.04,4.65
6,2021,6,18,12,25.4,7.72,12.5,618.3,5.6,3.28,0.028,0.04,4.99
6,2021,6,18,16,27.9,8.43,20.39,605.1,25.0,3.28,0.028,0.04,4.99
6,2021,6,18,16,27.9,8.43,20.39,605.1,25.0,2.77,0.028,0.045,5.36
6,2021,6,18,20,27.8,8.15,15.62,615.1,7.0,3.25,0.025,0.046,5.63
6,2021,6,19,0,24.7,7.3,6.72,617.0,2.6,3.25,0.025,0.046,5.63
6,2021,6,19,4,23.7,7.14,4.53,607.4,2.8,2.73,0.051,0.039,5.15
6,2021,6,19,4,23.7,7.14,4.53,607.4,2.8,2.83,0.051,0.043,4.52
6,2021,6,19,8,23.7,7.21,6.18,611.7,2.7,2.59,0.034,0.04,4.58
6,2021,6,19,12,26.4,8.0,16.09,590.7,9.8,2.62,0.025,0.04,4.58
6,2021,6,19,16,28.6,8.5,21.31,583.6,18.8,3.12,0.025,0.047,5.18
6,2021,6,19,20,28.0,8.18,15.77,618.5,7.9,3.01,0.025,0.047,5.44
6,2021,6,20,0,24.8,7.31,6.67,645.4,3.0,3.01,0.025,0.047,5.44
6,2021,6,20,0,24.8,7.31,6.67,645.4,3.0,3.01,0.025,0.047,5.44
6,2021,6,20,8,24.0,7.25,6.56,648.0,3.8,2.72,0.027,0.036,4.77
6,2021,6,20,12,24.0,7.25,6.56,648.0,3.8,2.55,0.025,0.038,5.08
6,2021,6,20,16,28.8,8.55,22.41,628.9,14.1,2.55,0.025,0.038,5.08
6,2021,7,3,8,22.3,7.19,6.66,380.0,14.8,5.58,1.788,0.218,4.52
6,2021,7,3,12,28.3,7.41,7.34,558.8,16.2,5.58,0.977,0.218,4.52
6,2021,7,3,16,30.3,7.44,6.96,499.9,6.7,4.01,0.977,0.218,4.52
6,2021,7,3,16,30.3,7.44,6.96,499.9,6.7,3.6,0.977,0.218,4.9
6,2021,7,3,20,30.3,7.22,6.96,499.9,7.8,3.51,0.977,0.108,4.56
6,2021,7,4,0,25.4,7.1,4.46,517.7,11.0,3.51,0.977,0.108,4.56
6,2021,7,4,4,24.9,7.07,4.03,501.5,4.7,3.51,0.977,0.108,4.56
6,2021,7,4,4,24.9,7.07,4.03,501.5,4.7,3.03,0.878,0.101,2.93
6,2021,7,4,8,25.1,7.09,4.87,472.2,4.7,3.1,0.605,0.084,3.76
6,2021,7,4,12,27.6,7.22,6.86,479.6,5.4,3.1,0.35,0.084,3.35
6,2021,7,4,16,30.1,7.36,8.1,483.2,2.9,2.83,0.35,0.084,3.35
6,2021,7,4,16,30.1,7.36,8.1,483.2,2.9,2.67,0.246,0.067,3.52
6,2021,7,4,20,29.8,7.3,6.95,471.3,6.6,2.82,0.346,0.093,4.13
6,2021,7,5,0,27.1,7.14,5.21,488.7,4.8,2.82,0.346,0.093,4.13
6,2021,7,5,4,26.4,7.09,4.46,500.7,3.5,2.82,0.346,0.093,4.13
6,2021,7,5,8,26.2,7.11,5.06,510.9,3.7,2.72,0.212,0.077,3.55
6,2021,7,5,8,26.2,7.11,5.06,510.9,3.7,2.7,0.181,0.074,4.17
6,2021,7,5,12,27.5,7.26,7.87,521.4,2.9,2.58,0.181,0.077,4.06
6,2021,7,5,16,28.3,7.44,9.1,520.0,2.8,2.58,0.181,0.076,4.06
6,2021,7,5,20,27.8,7.35,7.86,521.7,2.8,2.21,0.181,0.076,4.46
6,2021,7,5,20,27.8,7.35,7.86,521.7,2.8,2.61,0.092,0.077,4.26
6,2021,7,6,0,26.6,7.23,5.72,513.2,4.2,2.61,0.092,0.077,4.26
6,2021,7,6,4,25.2,7.11,4.86,460.3,8.9,2.61,0.623,0.105,3.62
6,2021,7,6,8,23.1,7.54,6.19,378.8,30.4,4.65,0.623,0.105,3.62
6,2021,7,6,8,23.1,7.54,6.19,378.8,30.4,6.25,1.578,0.178,6.01
6,2021,7,6,12,28.1,7.43,6.52,495.6,7.4,3.9,0.706,0.107,5.21
6,2021,7,6,16,30.8,7.54,7.09,497.3,4.8,3.33,0.174,0.077,4.19
6,2021,7,7,8,26.2,7.1,4.93,515.5,4.7,2.92,0.289,0.076,4.02
6,2021,7,7,12,28.1,7.25,7.78,519.4,4.3,2.67,0.289,0.07,4.58
6,2021,7,7,12,28.1,7.25,7.78,519.4,4.3,2.51,0.289,0.07,4.43
6,2021,7,26,12,27.0,7.25,6.66,641.0,3.2,2.22,0.099,0.051,4.86
6,2021,7,26,16,27.6,7.5,10.33,641.6,3.6,1.59,0.065,0.047,5.55
6,2021,7,26,20,27.7,7.52,10.17,645.4,3.1,1.59,0.091,0.047,5.55
6,2021,7,27,0,27.1,7.23,5.65,634.3,2.5,2.44,0.091,0.051,5.71
6,2021,7,27,0,27.1,7.23,5.65,634.3,2.5,2.44,0.091,0.051,5.71
6,2021,7,27,4,24.6,7.15,5.22,555.0,18.5,2.44,1.88,0.051,5.71
6,2021,7,27,12,26.2,7.3,5.86,542.8,5.9,9.5,2.018,0.181,5.61
6,2021,7,27,12,26.2,7.3,5.86,542.8,5.9,9.5,2.018,0.181,5.61
6,2021,7,27,12,26.2,7.3,5.86,542.8,5.9,3.67,0.596,0.076,5.43
6,2021,7,27,16,27.7,7.42,6.44,599.3,4.2,3.25,0.294,0.076,5.43
6,2021,7,27,20,25.3,7.25,5.34,340.9,41.1,7.83,0.294,0.216,5.91
6,2021,7,28,0,23.6,7.2,4.38,616.9,8.7,7.83,0.294,0.216,5.91
6,2021,7,28,0,23.6,7.2,4.38,616.9,8.7,7.83,1.01,0.216,5.91
6,2021,7,28,4,23.6,7.19,3.58,616.9,8.7,3.27,0.329,0.074,4.15
6,2021,7,28,8,25.9,7.17,3.36,577.6,5.2,3.14,0.392,0.07,4.73
6,2021,7,28,12,26.9,7.32,6.18,569.7,3.4,3.14,0.336,0.07,4.73
6,2021,7,28,12,26.9,7.32,6.18,569.7,3.4,2.81,0.336,0.07,4.73
6,2021,7,28,16,27.4,7.45,8.25,587.1,2.7,2.7,0.369,0.062,5.37
6,2021,7,28,20,27.0,7.37,7.38,588.9,2.7,2.54,0.318,0.061,5.14
6,2021,7,29,0,26.4,7.18,4.49,584.0,3.1,2.54,0.318,0.061,5.14
6,2021,7,29,4,26.0,7.14,3.96,583.9,4.3,2.54,0.318,0.061,5.14
6,2021,7,29,4,26.0,7.14,3.96,583.9,4.3,2.73,0.348,0.071,4.63
6,2021,7,29,8,25.9,7.15,4.33,585.9,6.1,2.73,0.376,0.065,5.19
6,2021,7,29,12,26.0,7.24,6.1,583.8,3.1,2.33,0.376,0.056,5.55
6,2021,7,29,16,26.2,7.3,6.13,564.4,8.2,2.33,0.376,0.056,5.55
6,2021,7,29,16,26.2,7.3,6.13,564.4,8.2,3.81,0.464,0.074,5.39
6,2021,7,29,20,25.9,7.23,4.68,544.4,4.6,2.87,0.211,0.057,4.02
6,2021,7,30,0,25.7,7.24,4.49,571.8,3.2,2.87,0.211,0.057,4.02
6,2021,7,30,4,25.2,7.26,4.8,650.3,2.8,2.87,0.211,0.057,4.02
6,2021,7,30,4,25.2,7.26,4.8,650.3,2.8,2.3,0.303,0.064,5.37
6,2021,7,30,8,25.1,7.29,5.41,652.5,3.1,2.56,0.326,0.065,5.99
6,2021,7,30,12,28.6,7.87,11.61,670.6,6.5,2.56,0.076,0.068,5.99
6,2021,7,30,16,30.5,7.91,11.46,672.3,5.4,2.33,0.076,0.068,6.23
6,2021,8,6,8,26.2,7.29,6.22,599.2,30.0,2.02,0.082,0.049,5.3
6,2021,8,6,8,26.2,7.29,6.22,599.2,30.0,2.04,0.091,0.099,6.07
6,2021,9,23,12,23.5,7.76,9.17,428.8,3.5,1.61,0.138,0.038,3.71
6,2021,9,23,16,25.0,8.05,10.82,415.5,3.4,1.55,0.137,0.005,3.48
6,2021,9,23,20,24.2,7.61,7.78,411.6,4.0,1.48,0.117,0.03,3.54
6,2021,9,24,0,23.7,7.48,6.97,406.7,3.2,1.48,0.117,0.03,3.54
6,2021,9,24,4,23.7,7.46,5.44,394.9,6.5,2.11,0.327,0.043,3.47
6,2021,10,28,12,17.3,7.56,9.64,521.3,3.2,1.2,0.067,0.039,4.98
6,2021,10,28,16,17.8,7.72,11.02,522.6,2.3,1.15,0.117,0.038,5.47
6,2021,10,28,20,17.6,7.64,10.21,523.6,3.5,1.2,0.198,0.042,5.26
6,2021,10,29,0,17.2,7.46,8.6,518.9,3.6,1.2,0.198,0.042,5.26
6,2021,10,29,4,17.0,7.47,8.63,512.1,3.1,1.32,0.116,0.037,4.88
6,2021,10,29,8,16.9,7.5,8.86,508.0,3.4,1.46,0.066,0.034,4.88
6,2021,10,29,12,17.4,7.59,9.74,508.6,3.1,1.3,0.058,0.034,5.0
6,2021,11,5,8,16.9,7.48,8.57,514.9,2.7,2.14,0.067,0.035,4.57
6,2021,11,5,12,16.9,7.5,8.86,509.6,2.3,2.08,0.058,0.032,4.44
6,2021,11,5,16,17.2,7.6,9.88,504.4,2.3,1.95,0.055,0.032,4.44
6,2021,11,5,20,17.0,7.6,9.77,507.8,2.8,1.98,0.058,0.034,4.49
6,2021,11,6,0,17.0,7.47,8.56,513.2,3.2,1.98,0.058,0.034,4.49
6,2021,11,6,4,17.0,7.45,8.41,526.3,4.2,2.35,0.125,0.04,4.78
6,2021,11,6,8,17.0,7.45,8.31,543.7,5.6,2.65,0.15,0.041,4.81
6,2021,11,6,12,16.9,7.47,8.61,550.2,2.8,2.13,0.074,0.036,4.66
