point_id,year,month,day,hour,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
15,2021,6,17,12,26.2,8.38,9.19,460.0,17.8,2.22,0.096,0.005,1.63
15,2021,6,17,12,26.2,8.38,9.19,460.0,17.8,2.22,0.096,0.005,1.63
15,2021,6,17,16,26.2,8.42,9.25,457.2,22.4,2.25,0.025,0.005,1.51
15,2021,6,17,16,26.2,8.42,9.25,457.2,22.4,2.15,0.025,0.005,1.59
15,2021,6,17,20,25.6,8.39,8.79,458.6,29.8,2.49,0.025,0.005,1.59
15,2021,6,18,0,25.1,8.35,8.46,459.2,18.7,2.49,0.025,0.005,1.59
15,2021,6,18,4,24.7,8.34,8.28,460.2,27.9,2.21,0.025,0.005,1.55
15,2021,6,18,4,24.7,8.34,8.28,460.2,27.9,2.51,0.025,0.005,1.62
15,2021,6,18,8,23.9,8.22,7.54,463.0,22.3,2.17,0.082,0.005,1.59
15,2021,6,18,12,25.1,8.36,8.83,461.5,27.7,2.21,0.025,0.005,1.54
15,2021,6,18,16,25.7,8.46,9.85,466.8,30.2,2.21,0.025,0.005,1.54
15,2021,6,18,16,25.7,8.46,9.85,466.8,30.2,2.53,0.025,0.005,1.64
15,2021,6,18,20,24.7,8.36,8.7,447.2,29.9,2.68,0.025,0.005,1.59
15,2021,6,19,0,24.0,8.3,8.03,447.9,24.1,2.68,0.025,0.005,1.59
15,2021,6,19,4,23.0,8.19,7.57,449.9,21.0,2.56,0.025,0.005,1.58
15,2021,6,19,4,23.0,8.19,7.57,449.9,21.0,2.43,0.08,0.005,1.57
15,2021,6,19,8,22.3,8.13,7.15,453.1,22.3,2.41,0.085,0.005,1.63
15,2021,6,19,12,24.1,8.28,8.46,453.9,29.7,2.62,0.025,0.005,1.68
15,2021,6,19,16,24.5,8.34,8.96,451.6,37.7,2.57,0.025,0.005,1.59
15,2021,6,19,20,23.4,8.27,8.13,451.6,29.9,2.61,0.025,0.005,1.63
15,2021,6,20,0,22.8,8.18,7.61,453.8,26.6,2.61,0.025,0.005,1.63
15,2021,6,20,0,22.8,8.18,7.61,453.8,26.6,2.61,0.025,0.005,1.63
15,2021,6,20,8,21.6,8.14,7.17,452.9,30.7,2.5,0.025,0.005,1.55
15,2021,6,20,12,23.5,8.24,8.51,455.8,19.8,2.58,0.025,0.005,1.44
15,2021,6,20,16,24.5,8.3,8.83,454.2,24.4,2.58,0.025,0.005,1.44
15,2021,7,2,12,25.5,8.18,7.36,437.0,21.2,2.39,0.107,0.035,1.2
15,2021,7,2,16,27.0,8.38,8.67,436.5,21.4,2.39,0.107,0.035,1.22
15,2021,7,2,16,27.0,8.38,8.67,436.5,21.4,2.4,0.083,0.005,1.16
15,2021,7,2,20,26.3,8.34,8.32,435.4,20.0,2.25,0.025,0.005,1.16
15,2021,7,3,0,25.9,8.26,7.69,436.5,17.5,2.25,0.025,0.005,1.16
15,2021,7,3,4,25.5,8.23,7.57,425.6,21.3,2.25,0.025,0.005,1.16
15,2021,7,3,4,25.5,8.23,7.57,425.6,21.3,2.07,0.124,0.005,1.21
15,2021,7,3,8,25.0,8.21,7.48,418.3,28.0,2.19,0.139,0.005,1.21
15,2021,7,3,12,25.9,8.31,8.21,416.7,18.1,2.0,0.116,0.005,1.21
15,2021,7,3,16,26.8,8.42,9.2,412.5,16.2,2.0,0.116,0.005,1.21
15,2021,7,3,16,26.8,8.42,9.2,412.5,16.2,2.15,0.093,0.005,1.27
15,2021,7,3,20,26.3,8.41,8.72,416.0,20.3,2.3,0.092,0.005,1.27
15,2021,7,4,0,25.9,8.35,8.38,408.8,18.1,2.3,0.092,0.005,1.27
15,2021,7,4,4,25.5,8.3,8.16,399.9,17.2,2.3,0.092,0.005,1.27
15,2021,7,4,4,25.5,8.3,8.16,399.9,17.2,2.22,0.1,0.005,1.45
15,2021,7,4,8,25.1,8.2,7.89,385.4,21.2,2.85,0.114,0.005,1.78
15,2021,7,4,12,26.3,8.3,8.55,389.7,23.4,2.85,0.097,0.005,1.78
15,2021,7,4,16,28.2,8.49,10.45,390.2,17.0,2.73,0.097,0.005,1.68
15,2021,7,4,16,28.2,8.49,10.45,390.2,17.0,2.99,0.025,0.005,1.79
15,2021,7,4,20,27.3,8.42,9.21,390.8,17.9,3.04,0.081,0.005,1.74
15,2021,7,5,0,26.7,8.36,8.48,393.3,16.8,3.04,0.081,0.005,1.74
15,2021,7,5,4,25.6,8.12,7.61,378.4,16.2,3.04,0.081,0.005,1.74
15,2021,7,5,8,24.6,8.22,7.93,402.2,18.6,4.28,0.09,0.005,2.63
15,2021,7,5,8,24.6,8.22,7.93,402.2,18.6,3.66,0.025,0.005,2.86
15,2021,7,5,12,25.7,8.28,8.37,404.6,18.5,3.63,0.025,0.005,2.84
15,2021,7,5,16,25.5,8.3,8.29,404.8,21.6,3.63,0.095,0.005,2.84
15,2021,7,5,20,25.2,8.28,8.34,420.5,14.5,3.2,0.095,0.005,2.65
15,2021,7,5,20,25.2,8.28,8.34,420.5,14.5,2.75,0.025,0.005,2.46
15,2021,7,6,0,24.3,8.21,8.06,419.1,16.8,2.75,0.025,0.005,2.46
15,2021,7,6,4,24.0,8.2,7.75,423.2,18.7,2.82,0.093,0.005,2.46
15,2021,7,6,8,23.9,8.18,7.78,420.6,18.2,2.82,0.093,0.005,2.48
15,2021,7,6,8,23.9,8.18,7.78,420.6,18.2,3.02,0.094,0.005,2.5
15,2021,7,6,12,23.9,8.18,8.05,384.8,18.2,4.88,0.115,0.005,3.21
15,2021,7,6,16,25.2,8.43,9.44,396.6,17.2,4.27,0.025,0.036,2.71
15,2021,7,7,8,23.0,7.95,7.5,379.9,176.4,5.73,0.257,0.044,4.39
15,2021,7,7,12,24.4,7.99,7.86,396.6,162.7,6.83,0.469,0.073,6.03
15,2021,7,7,12,24.4,7.99,7.86,396.6,162.7,6.78,0.407,0.074,5.58
15,2021,7,26,12,27.1,8.71,8.71,397.8,17.2,3.66,0.134,0.032,1.96
15,2021,7,26,16,27.2,8.59,8.03,398.0,18.9,3.85,0.146,0.032,1.98
15,2021,7,26,20,27.1,8.66,8.4,399.3,18.6,3.85,0.146,0.032,1.98
15,2021,7,27,0,27.3,8.73,8.89,395.7,16.2,3.7,0.146,0.036,2.0
15,2021,7,27,0,27.3,8.73,8.89,395.7,16.2,3.7,0.146,0.036,2.0
15,2021,7,27,4,27.0,8.64,8.23,393.3,16.6,3.8,0.163,0.043,2.05
15,2021,7,27,8,26.2,8.43,7.6,360.9,21.0,3.8,0.164,0.043,2.05
15,2021,7,27,12,25.6,8.46,7.72,343.8,16.0,4.69,0.164,0.035,2.54
15,2021,7,27,12,25.6,8.46,7.72,343.8,16.0,4.69,0.164,0.035,2.54
15,2021,7,27,12,25.6,8.46,7.72,343.8,16.0,5.58,0.159,0.035,2.84
15,2021,7,27,16,25.3,8.46,7.9,348.4,17.6,5.07,0.155,0.032,2.94
15,2021,7,27,20,25.6,8.49,7.87,372.5,18.0,4.42,0.159,0.034,2.66
15,2021,7,28,0,25.8,8.51,7.92,372.3,12.6,4.42,0.159,0.034,2.66
15,2021,7,28,4,25.6,8.46,7.69,368.5,15.0,4.42,0.159,0.034,2.66
15,2021,7,28,4,25.6,8.46,7.69,368.5,15.0,4.23,0.147,0.036,2.71
15,2021,7,28,8,25.5,8.42,7.49,374.4,14.8,4.09,0.148,0.037,2.65
15,2021,7,28,12,25.2,8.4,7.61,390.1,16.9,4.09,0.137,0.037,2.65
15,2021,7,28,16,25.7,8.46,7.81,380.6,16.4,3.92,0.137,0.031,2.69
15,2021,7,28,16,25.7,8.46,7.81,380.6,16.4,3.87,0.138,0.033,2.49
15,2021,7,28,20,26.4,8.58,8.24,390.2,14.3,3.68,0.142,0.034,2.11
15,2021,7,29,0,26.3,8.55,8.05,392.0,14.2,3.68,0.142,0.034,2.11
15,2021,7,29,0,26.3,8.55,8.05,392.0,14.2,3.68,0.135,0.034,2.11
15,2021,7,29,0,26.3,8.55,8.05,392.0,14.2,3.68,0.135,0.034,2.11
15,2021,7,29,12,25.5,8.33,7.77,389.8,7.3,3.8,0.128,0.034,2.55
15,2021,7,29,16,25.9,8.25,7.42,391.2,8.7,3.8,0.128,0.034,2.55
15,2021,7,29,16,25.9,8.25,7.42,391.2,8.7,3.7,0.13,0.033,2.32
15,2021,7,29,20,26.1,8.24,7.51,391.8,16.9,3.8,0.155,0.041,2.37
15,2021,7,30,0,25.3,8.2,7.8,396.6,13.1,3.8,0.155,0.041,2.37
15,2021,7,30,4,24.4,8.15,7.72,410.2,13.7,3.8,0.155,0.041,2.37
15,2021,7,30,4,24.4,8.15,7.72,410.2,13.7,3.87,0.112,0.039,3.06
15,2021,7,30,8,23.8,8.12,7.72,418.4,13.9,3.8,0.109,0.034,3.08
15,2021,7,30,12,22.9,8.04,7.39,433.3,21.2,3.8,0.108,0.034,3.08
15,2021,7,30,16,22.7,8.08,7.94,432.5,17.4,3.92,0.108,0.033,3.74
15,2021,8,6,8,25.0,8.18,7.86,497.5,18.6,3.59,0.025,0.005,3.73
15,2021,8,6,8,25.0,8.18,7.86,497.5,18.6,3.58,0.025,0.005,4.06
15,2021,9,23,12,20.8,8.37,8.61,375.4,8.8,3.33,0.025,0.005,2.84
15,2021,9,23,16,21.2,8.33,8.72,407.2,5.6,3.13,0.025,0.005,2.66
15,2021,9,23,20,21.7,8.37,8.18,401.1,4.0,3.46,0.025,0.005,2.41
15,2021,9,24,0,21.7,8.43,8.66,401.5,4.3,3.46,0.025,0.005,2.41
15,2021,9,24,4,22.0,8.38,8.27,397.0,3.8,3.48,0.025,0.005,2.4
15,2021,10,28,12,15.4,8.25,9.99,397.2,6.4,3.16,0.025,0.005,2.8
15,2021,10,28,16,15.3,8.31,10.38,396.0,5.2,3.12,0.025,0.005,2.79
15,2021,10,28,20,15.3,8.32,10.34,395.4,4.8,3.16,0.025,0.005,2.77
15,2021,10,29,0,15.2,8.35,10.38,396.0,4.5,3.16,0.025,0.005,2.77
15,2021,10,29,4,15.2,8.36,10.5,396.5,4.0,3.11,0.025,0.005,2.79
15,2021,10,29,8,15.3,8.34,10.41,396.2,8.6,3.16,0.025,0.005,2.78
15,2021,10,29,12,15.6,8.25,9.83,397.0,4.1,3.08,0.025,0.005,2.76
15,2021,11,5,8,15.6,8.17,9.75,397.8,4.6,3.05,0.025,0.005,2.74
15,2021,11,5,12,15.6,8.19,9.62,397.5,4.0,3.09,0.025,0.005,2.77
15,2021,11,5,16,15.5,8.19,9.8,397.6,3.3,3.01,0.025,0.005,2.74
15,2021,11,5,20,15.4,8.19,9.68,397.4,3.5,3.0,0.025,0.005,2.74
15,2021,11,6,0,15.4,8.19,9.55,398.0,3.3,3.0,0.025,0.005,2.74
15,2021,11,6,4,15.4,8.18,9.54,397.7,3.8,2.96,0.025,0.005,2.74
15,2021,11,6,8,15.5,8.19,9.55,397.5,3.0,3.02,0.025,0.005,2.75
15,2021,11,6,12,15.5,8.19,9.62,397.6,4.1,3.03,0.025,0.005,2.76
15,2021,11,6,16,15.5,8.15,9.44,397.3,6.1,3.03,0.025,0.005,2.81
15,2021,11,6,20,15.1,8.16,9.64,397.0,4.6,3.04,0.025,0.005,2.82
15,2021,11,7,0,14.7,8.18,9.74,399.5,6.7,3.04,0.025,0.005,2.82
15,2021,11,7,4,14.3,8.18,9.83,401.6,5.4,3.0,0.025,0.005,2.85
15,2021,11,7,4,14.3,8.18,9.83,401.6,5.4,2.95,0.025,0.005,2.88
15,2021,11,7,12,13.6,8.2,10.06,405.8,6.6,2.92,0.025,0.005,3.0
15,2021,11,7,16,13.5,8.21,10.01,406.7,6.8,2.92,0.025,0.005,3.0
